id,date,value
M1,1976-06-01,8000
M1,1976-07-01,8350
M1,1976-08-01,8570
M1,1976-09-01,7700
M1,1976-10-01,7080
M1,1976-11-01,6520
M1,1976-12-01,6070
M1,1977-01-01,6650
M1,1977-02-01,6830
M1,1977-03-01,5710
M1,1977-04-01,5260
M1,1977-05-01,5470
M1,1977-06-01,7870
M1,1977-07-01,7360
M1,1977-08-01,8470
M1,1977-09-01,7880
M1,1977-10-01,6750
M1,1977-11-01,6860
M1,1977-12-01,6220
M1,1978-01-01,6650
M1,1978-02-01,5450
M1,1978-03-01,5280
M1,1978-04-01,4970
M1,1978-05-01,5550
M1,1978-06-01,7750
M1,1978-07-01,7760
M1,1978-08-01,7190
M1,1978-09-01,7440
M1,1978-10-01,6590
M1,1978-11-01,6210
M1,1978-12-01,6010
M1,1979-01-01,6390
M1,1979-02-01,5780
M1,1979-03-01,5700
M1,1979-04-01,4680
M1,1979-05-01,4970
M1,1979-06-01,6850
M1,1979-07-01,6740
M1,1979-08-01,7490
M1,1979-09-01,6250
M1,1979-10-01,6900
M1,1979-11-01,5870
M1,1979-12-01,5610
M1,1980-01-01,6310
M1,1980-02-01,6110
M1,1980-03-01,6090
M1,1980-04-01,5810
M1,1980-05-01,6060
M1,1980-06-01,6950
M1,1980-07-01,7820
M1,1980-08-01,8270
M1,1980-09-01,7840
M1,1980-10-01,7850
M1,1980-11-01,6710
M1,1980-12-01,6220
M1,1981-01-01,7430
M1,1981-02-01,6560
M1,1981-03-01,7080
M1,1981-04-01,6680
M1,1981-05-01,6900
M1,1981-06-01,8680
M1,1981-07-01,8450
M1,1981-08-01,8670
M1,1981-09-01,8470
M1,1981-10-01,7910
M1,1981-11-01,8140
M1,1981-12-01,7310
M1,1982-01-01,7860
M1,1982-02-01,7730
M1,1982-03-01,7330
M1,1982-04-01,7430
M1,1982-05-01,7150
M1,1982-06-01,8720
M1,1982-07-01,8340
M1,1982-08-01,8840
M1,1982-09-01,8780
M1,1982-10-01,8250
M1,1982-11-01,8180
M1,1982-12-01,7570
M1,1983-01-01,9280
M1,1983-02-01,9220
