id,date,value
Q10,2000-01-01,2329
Q10,2000-04-01,2349.9
Q10,2000-07-01,2332.9
Q10,2000-10-01,2381.5
Q10,2001-01-01,2382.6
Q10,2001-04-01,2405
Q10,2001-07-01,2411
Q10,2001-10-01,2428.5
Q10,2002-01-01,2391.6
Q10,2002-04-01,2418.5
Q10,2002-07-01,2406.5
Q10,2002-10-01,2418.5
Q10,2003-01-01,2420.4
Q10,2003-04-01,2438.6
Q10,2003-07-01,2448.7
Q10,2003-10-01,2470.6
Q10,2004-01-01,2484.5
Q10,2004-04-01,2495.9
Q10,2004-07-01,2492.5
Q10,2004-10-01,2521.6
Q10,2005-01-01,2538.1
Q10,2005-04-01,2549.7
Q10,2005-07-01,2587.2
Q10,2005-10-01,2585
Q10,2006-01-01,2602.6
Q10,2006-04-01,2615.3
Q10,2006-07-01,2654
Q10,2006-10-01,2680.8
Q10,2007-01-01,2665.4
Q10,2007-04-01,2645.1
Q10,2007-07-01,2647.5
Q10,2007-10-01,2719.2
Q10,2008-01-01,2677
Q10,2008-04-01,2650.9
Q10,2008-07-01,2667.8
Q10,2008-10-01,2660.2
Q10,2009-01-01,2554.7
Q10,2009-04-01,2522.7
Q10,2009-07-01,2510
Q10,2009-10-01,2541.7
Q10,2010-01-01,2499.1
Q10,2010-04-01,2527.9
Q10,2010-07-01,2519
Q10,2010-10-01,2536.3
Q10,2011-01-01,2493.2
Q10,2011-04-01,2542.1
Q10,2011-07-01,2501.6
Q10,2011-10-01,2516.3
Q10,2012-01-01,2510.5
Q10,2012-04-01,2548.4
Q10,2012-07-01,2548.6
Q10,2012-10-01,2530.7
Q10,2013-01-01,2497.1
Q10,2013-04-01,2520.4
Q10,2013-07-01,2516.9
Q10,2013-10-01,2505.5
Q10,2014-01-01,2513.9
Q10,2014-04-01,2549.9
Q10,2014-07-01,2555.3
Q50,2000-01-01,6550
Q50,2000-04-01,6220
Q50,2000-07-01,6360
Q50,2000-10-01,6310
Q50,2001-01-01,6410
Q50,2001-04-01,6540
Q50,2001-07-01,6780
Q50,2001-10-01,6790
Q50,2002-01-01,6780
Q50,2002-04-01,6590
Q50,2002-07-01,6740
Q50,2002-10-01,6710
Q50,2003-01-01,7010
Q50,2003-04-01,6760
Q50,2003-07-01,6810
Q50,2003-10-01,6840
Q50,2004-01-01,7020
Q50,2004-04-01,7000
Q50,2004-07-01,6950
Q50,2004-10-01,7430
Q50,2005-01-01,7320
Q50,2005-04-01,7190
Q50,2005-07-01,7000
Q50,2005-10-01,7500
Q50,2006-01-01,7490
Q50,2006-04-01,7320
Q50,2006-07-01,7460
Q50,2006-10-01,7350
Q50,2007-01-01,7810
Q50,2007-04-01,7930
Q50,2007-07-01,7810
Q50,2007-10-01,8180
Q50,2008-01-01,8140
Q50,2008-04-01,8450
Q50,2008-07-01,8520
Q50,2008-10-01,8330
Q50,2009-01-01,8740
Q50,2009-04-01,8470
Q50,2009-07-01,8360
Q50,2009-10-01,8670
Q50,2010-01-01,8930
Q50,2010-04-01,8350
Q50,2010-07-01,8400
Q50,2010-10-01,8370
Q50,2011-01-01,8930
Q50,2011-04-01,8990
Q50,2011-07-01,8750
Q50,2011-10-01,8780
Q50,2012-01-01,8690
Q50,2012-04-01,9260
Q50,2012-07-01,8760
Q50,2012-10-01,9130
Q50,2013-01-01,9340
Q50,2013-04-01,9120
Q50,2013-07-01,9170
Q50,2013-10-01,8980
Q50,2014-01-01,9450
Q50,2014-04-01,9040
Q50,2014-07-01,9320
Q120,2005-01-01,979.33
Q120,2005-04-01,1001.07
Q120,2005-07-01,965.41
Q120,2005-10-01,983.04
Q120,2006-01-01,1030.05
Q120,2006-04-01,1010.96
Q120,2006-07-01,1027.95
Q120,2006-10-01,1035.49
Q120,2007-01-01,1033.12
Q120,2007-04-01,1060.06
Q120,2007-07-01,1033.52
Q120,2007-10-01,1004.48
Q120,2008-01-01,1036.13
Q120,2008-04-01,1065.7
Q120,2008-07-01,1059.39
Q120,2008-10-01,1072.87
Q120,2009-01-01,1067.25
Q120,2009-04-01,986.24
Q120,2009-07-01,974.85
Q120,2009-10-01,971.65
Q120,2010-01-01,1001.28
Q120,2010-04-01,1024.54
Q120,2010-07-01,1041.8
Q120,2010-10-01,1045.85
Q120,2011-01-01,1046.86
Q120,2011-04-01,1091.65
Q120,2011-07-01,1119.44
Q120,2011-10-01,1174.31
Q120,2012-01-01,1196.54
Q120,2012-04-01,1197.57
Q120,2012-07-01,1197.63
Q120,2012-10-01,1214.68
Q120,2013-01-01,1226.05
Q120,2013-04-01,1266.6
Q120,2013-07-01,1305.4
Q120,2013-10-01,1286.89
Q120,2014-01-01,1355.04
Q120,2014-04-01,1428.47
Q120,2014-07-01,1447.94
Q359,2005-01-01,5199
Q359,2005-04-01,5360
Q359,2005-07-01,5193
Q359,2005-10-01,5096
Q359,2006-01-01,5177
Q359,2006-04-01,5277
Q359,2006-07-01,5279
Q359,2006-10-01,5123
Q359,2007-01-01,4984
Q359,2007-04-01,4953
Q359,2007-07-01,5285
Q359,2007-10-01,4935
Q359,2008-01-01,5092
Q359,2008-04-01,5158
Q359,2008-07-01,5113
Q359,2008-10-01,4942
Q359,2009-01-01,4699
Q359,2009-04-01,4677
Q359,2009-07-01,4696
Q359,2009-10-01,4704
Q359,2010-01-01,4477
Q359,2010-04-01,4501
Q359,2010-07-01,4505
Q359,2010-10-01,4536
Q359,2011-01-01,4260
Q359,2011-04-01,4424
Q359,2011-07-01,4376
Q359,2011-10-01,4252
Q359,2012-01-01,4159
Q359,2012-04-01,4267
Q359,2012-07-01,4174
Q359,2012-10-01,4024
Q359,2013-01-01,4268
Q359,2013-04-01,4278
Q359,2013-07-01,4304
Q359,2013-10-01,4304
Q359,2014-01-01,4357
Q359,2014-04-01,4337
Q359,2014-07-01,4312
