Page,date,value
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-01,791
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-02,704
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-03,903
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-04,732
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-05,558
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-06,504
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-07,543
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-08,1156
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-09,1196
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-10,701
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-11,829
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-12,838
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-13,1117
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-14,716
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-15,874
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-16,625
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-17,613
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-18,587
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-19,579
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-20,547
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-21,853
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-22,1451
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-23,2862
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-24,3215
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-25,1464
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-26,1132
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-27,990
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-28,1220
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-29,1132
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-30,1267
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-07-31,802
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-01,653
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-02,606
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-03,590
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-04,736
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-05,566
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-06,557
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-07,446
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-08,560
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-09,1009
