id,date,value
D10,2014-07-03,2076.2
D10,2014-07-04,2073.4
D10,2014-07-05,2048.7
D10,2014-07-06,2048.9
D10,2014-07-07,2006.4
D10,2014-07-08,2017.6
D10,2014-07-09,2019.1
D10,2014-07-10,2007.4
D10,2014-07-11,2010
D10,2014-07-12,2001.5
D10,2014-07-13,1978.8
D10,2014-07-14,1988.3
D10,2014-07-15,2000.7
D10,2014-07-16,2010.5
D10,2014-07-17,2014.5
D10,2014-07-18,1962.6
D10,2014-07-19,1948
D10,2014-07-20,1943
D10,2014-07-21,1933.3
D10,2014-07-22,1891
D10,2014-07-23,1886.2
D10,2014-07-24,1896.6
D10,2014-07-25,1888.1
D10,2014-07-26,1876
D10,2014-07-27,1895.1
D10,2014-07-28,1886.2
D10,2014-07-29,1920
D10,2014-07-30,1912
D10,2014-07-31,1917.2
D10,2014-08-01,1922.6
D10,2014-08-02,1956.7
D10,2014-08-03,1956.5
D10,2014-08-04,1999.1
D10,2014-08-05,2002.9
D10,2014-08-06,2016.3
D10,2014-08-07,2017.3
D10,2014-08-08,2027.5
D10,2014-08-09,2015.2
D10,2014-08-10,2017.7
D10,2014-08-11,2005.8
D10,2014-08-12,2014.4
D10,2014-08-13,2019
D10,2014-08-14,2019.8
D10,2014-08-15,1989.7
D10,2014-08-16,1986.3
D10,2014-08-17,1988.2
D10,2014-08-18,2000.8
D10,2014-08-19,1988.3
D10,2014-08-20,1989
D10,2014-08-21,1998.9
D10,2014-08-22,1971.4
D10,2014-08-23,1967.1
D10,2014-08-24,1995.6
D10,2014-08-25,2011
D10,2014-08-26,2001.6
D10,2014-08-27,1971.9
D10,2014-08-28,1928.9
D10,2014-08-29,1914.7
D10,2014-08-30,1936.5
D10,2014-08-31,1921.3
D10,2014-09-01,1907.8
D10,2014-09-02,1925.1
D10,2014-09-03,1897.6
D10,2014-09-04,1878.8
D10,2014-09-05,1903.2
D10,2014-09-06,1916.8
D10,2014-09-07,1899.8
D10,2014-09-08,1881.5
D10,2014-09-09,1908.2
D10,2014-09-10,1863.2
D10,2014-09-11,1829.4
D10,2014-09-12,1797.7
D10,2014-09-13,1781.6
D10,2014-09-14,1809.9
D10,2014-09-15,1864.6
D10,2014-09-16,1907.9
D10,2014-09-17,1951.5
D10,2014-09-18,1973.8
D10,2014-09-19,1976.9
D10,2014-09-20,1990.3
D10,2014-09-21,1992.6
D10,2014-09-22,1981
D10,2014-09-23,1990.9
D10,2014-09-24,1962.3
D10,2014-09-25,1997.6
D10,2014-09-26,1987.9
D10,2014-09-27,1999.8
D10,2014-09-28,2000.2
D10,2014-09-29,1996.4
D10,2014-09-30,2023.5
D10,2014-10-01,2049.2
D10,2014-10-02,2044.7
D10,2014-10-03,2061.5
D10,2014-10-04,2064.5
D10,2014-10-05,2062
D10,2014-10-06,2064
D10,2014-10-07,2076
D10,2014-10-08,2090.2
D10,2014-10-09,2081.9
D10,2014-10-10,2143.1
D10,2014-10-11,2140.2
D10,2014-10-12,2154.9
D10,2014-10-13,2152.4
D10,2014-10-14,2143.3
D10,2014-10-15,2141.7
D10,2014-10-16,2125.6
D10,2014-10-17,2137.4
D10,2014-10-18,2141.7
D10,2014-10-19,2137.3
D10,2014-10-20,2134.3
D10,2014-10-21,2107.6
D10,2014-10-22,2132
D10,2014-10-23,2081.2
D10,2014-10-24,2069.5
D10,2014-10-25,2058.2
D10,2014-10-26,2029.9
D10,2014-10-27,2022.8
D10,2014-10-28,2096.1
D10,2014-10-29,2109.3
D10,2014-10-30,2119.9
D10,2014-10-31,2130
D10,2014-11-01,2133.3
D10,2014-11-02,2144.2
D10,2014-11-03,2139.9
D10,2014-11-04,2145.4
D10,2014-11-05,2153.2
D10,2014-11-06,2165.8
D10,2014-11-07,2135.9
D10,2014-11-08,2129.9
D10,2014-11-09,2121.9
D10,2014-11-10,2178
D10,2014-11-11,2208.9
D10,2014-11-12,2209.5
D10,2014-11-13,2245.4
D10,2014-11-14,2155.9
D10,2014-11-15,2176
D10,2014-11-16,2086.5
D10,2014-11-17,2123.5
D10,2014-11-18,2083.5
D10,2014-11-19,2115.2
D10,2014-11-20,2132.3
D10,2014-11-21,2140.7
D10,2014-11-22,2131.3
D10,2014-11-23,2162.2
D10,2014-11-24,2139.9
D10,2014-11-25,2160.9
D10,2014-11-26,2158.3
D10,2014-11-27,2164.8
D10,2014-11-28,2184.1
D10,2014-11-29,2216.7
D10,2014-11-30,2216.7
D10,2014-12-01,2244.3
D10,2014-12-02,2257.9
D10,2014-12-03,2280
D10,2014-12-04,2272.6
D10,2014-12-05,2301.4
D10,2014-12-06,2299.1
D10,2014-12-07,2313.6
D10,2014-12-08,2312.4
D10,2014-12-09,2308.6
D10,2014-12-10,2324.2
D10,2014-12-11,2333.1
D10,2014-12-12,2333.8
D10,2014-12-13,2321.9
D10,2014-12-14,2308.9
D10,2014-12-15,2317.5
D10,2014-12-16,2313.7
D10,2014-12-17,2290.6
D10,2014-12-18,2306.5
D10,2014-12-19,2295.3
D10,2014-12-20,2265.3
D10,2014-12-21,2249.8
D10,2014-12-22,2250.6
D10,2014-12-23,2275.5
D10,2014-12-24,2290
D10,2014-12-25,2287.4
D10,2014-12-26,2273.7
D10,2014-12-27,2270.1
D10,2014-12-28,2322
D10,2014-12-29,2327.3
D10,2014-12-30,2344.9
D10,2014-12-31,2327.8
D10,2015-01-01,2351
D10,2015-01-02,2302.7
D10,2015-01-03,2300.7
D10,2015-01-04,2341.2
D10,2015-01-05,2351.4
D10,2015-01-06,2363.9
D10,2015-01-07,2344.5
D10,2015-01-08,2368.5
D10,2015-01-09,2368.8
D10,2015-01-10,2330.1
D10,2015-01-11,2345.3
D10,2015-01-12,2341.7
D10,2015-01-13,2345.9
D10,2015-01-14,2342.3
D10,2015-01-15,2356
D10,2015-01-16,2352
D10,2015-01-17,2306.8
D10,2015-01-18,2310.1
D10,2015-01-19,2303.6
D10,2015-01-20,2321.1
D10,2015-01-21,2270.9
D10,2015-01-22,2255.1
D10,2015-01-23,2287.5
D10,2015-01-24,2253.2
D10,2015-01-25,2250.6
D10,2015-01-26,2233.3
D10,2015-01-27,2211.8
D10,2015-01-28,2253.2
D10,2015-01-29,2235.6
D10,2015-01-30,2216.9
D10,2015-01-31,2209.6
D10,2015-02-01,2285.7
D10,2015-02-02,2277.5
D10,2015-02-03,2258.5
D10,2015-02-04,2260.6
D10,2015-02-05,2273
D10,2015-02-06,2288.7
D10,2015-02-07,2297.9
D10,2015-02-08,2339
D10,2015-02-09,2340.8
D10,2015-02-10,2325.6
D10,2015-02-11,2324.6
D10,2015-02-12,2307.3
D10,2015-02-13,2305.6
D10,2015-02-14,2300.9
D10,2015-02-15,2306.5
D10,2015-02-16,2291.3
D10,2015-02-17,2284.4
D10,2015-02-18,2288.7
D10,2015-02-19,2275.7
D10,2015-02-20,2254.4
D10,2015-02-21,2258.5
D10,2015-02-22,2244.1
D10,2015-02-23,2247.8
D10,2015-02-24,2285.1
D10,2015-02-25,2278.5
D10,2015-02-26,2277.9
