id,date,value
H10,2015-07-01T12:00:00Z,513
H10,2015-07-01T13:00:00Z,512
H10,2015-07-01T14:00:00Z,506
H10,2015-07-01T15:00:00Z,500
H10,2015-07-01T16:00:00Z,490
H10,2015-07-01T17:00:00Z,484
H10,2015-07-01T18:00:00Z,467
H10,2015-07-01T19:00:00Z,446
H10,2015-07-01T20:00:00Z,434
H10,2015-07-01T21:00:00Z,422
H10,2015-07-01T22:00:00Z,416
H10,2015-07-01T23:00:00Z,413
H10,2015-07-02T00:00:00Z,413
H10,2015-07-02T01:00:00Z,415
H10,2015-07-02T02:00:00Z,430
H10,2015-07-02T03:00:00Z,446
H10,2015-07-02T04:00:00Z,458
H10,2015-07-02T05:00:00Z,444
H10,2015-07-02T06:00:00Z,476
H10,2015-07-02T07:00:00Z,487
H10,2015-07-02T08:00:00Z,490
H10,2015-07-02T09:00:00Z,500
H10,2015-07-02T10:00:00Z,502
H10,2015-07-02T11:00:00Z,508
H10,2015-07-02T12:00:00Z,510
H10,2015-07-02T13:00:00Z,508
H10,2015-07-02T14:00:00Z,510
H10,2015-07-02T15:00:00Z,502
H10,2015-07-02T16:00:00Z,493
H10,2015-07-02T17:00:00Z,486
H10,2015-07-02T18:00:00Z,464
H10,2015-07-02T19:00:00Z,448
H10,2015-07-02T20:00:00Z,431
H10,2015-07-02T21:00:00Z,422
H10,2015-07-02T22:00:00Z,412
H10,2015-07-02T23:00:00Z,409
H10,2015-07-03T00:00:00Z,412
H10,2015-07-03T01:00:00Z,414
H10,2015-07-03T02:00:00Z,428
H10,2015-07-03T03:00:00Z,441
H10,2015-07-03T04:00:00Z,452
H10,2015-07-03T05:00:00Z,400
H10,2015-07-03T06:00:00Z,422
H10,2015-07-03T07:00:00Z,489
H10,2015-07-03T08:00:00Z,493
H10,2015-07-03T09:00:00Z,501
H10,2015-07-03T10:00:00Z,508
H10,2015-07-03T11:00:00Z,511
H10,2015-07-03T12:00:00Z,517
H10,2015-07-03T13:00:00Z,515
H10,2015-07-03T14:00:00Z,516
H10,2015-07-03T15:00:00Z,504
H10,2015-07-03T16:00:00Z,497
H10,2015-07-03T17:00:00Z,490
H10,2015-07-03T18:00:00Z,478
H10,2015-07-03T19:00:00Z,454
H10,2015-07-03T20:00:00Z,444
