id,date,value
W10,1999-01-01,246.98
W10,1999-01-08,222.3
W10,1999-01-15,449.98
W10,1999-01-22,449.98
W10,1999-01-29,449.98
W10,1999-02-05,449.93
W10,1999-02-12,449.93
W10,1999-02-19,449.93
W10,1999-02-26,450.01
W10,1999-03-05,450.01
W10,1999-03-12,450.01
W10,1999-03-19,450.01
W10,1999-03-26,450.05
W10,1999-04-02,449.94
W10,1999-04-09,449.94
W10,1999-04-16,449.94
W10,1999-04-23,449.94
W10,1999-04-30,449.99
W10,1999-05-07,449.84
W10,1999-05-14,449.81
W10,1999-05-21,449.81
W10,1999-05-28,449.97
W10,1999-06-04,449.97
W10,1999-06-11,449.97
W10,1999-06-18,449.97
W10,1999-06-25,449.97
W10,1999-07-02,449.91
W10,1999-07-09,449.91
W10,1999-07-16,450.01
W10,1999-07-23,450.01
W10,1999-07-30,450.01
W10,1999-08-06,450.01
W10,1999-08-13,450.01
W10,1999-08-20,450.01
W10,1999-08-27,449.96
W10,1999-09-03,449.96
W10,1999-09-10,449.96
W10,1999-09-17,449.94
W10,1999-09-24,449.94
W10,1999-10-01,449.94
W10,1999-10-08,449.94
W10,1999-10-15,449.94
W10,1999-10-22,449.94
W10,1999-10-29,549.95
W10,1999-11-05,549.95
W10,1999-11-12,549.95
W10,1999-11-19,549.95
W10,1999-11-26,649.99
W10,1999-12-03,649.99
W10,1999-12-10,649.99
W10,1999-12-17,649.99
W10,1999-12-24,749.96
W10,1999-12-31,749.96
W10,2000-01-07,749.96
W10,2000-01-14,749.96
W10,2000-01-21,749.98
W10,2000-01-28,699.96
W10,2000-02-04,699.96
W10,2000-02-11,699.96
W10,2000-02-18,699.96
W10,2000-02-25,699.96
W10,2000-03-03,649.98
W10,2000-03-10,649.98
W10,2000-03-17,649.96
W10,2000-03-24,649.96
W10,2000-03-31,600
W10,2000-04-07,600
W10,2000-04-14,600
W10,2000-04-21,600
W10,2000-04-28,599.99
W10,2000-05-05,599.99
W10,2000-05-12,599.99
W10,2000-05-19,599.99
W10,2000-05-26,599.95
W10,2000-06-02,599.05
W10,2000-06-09,599.05
W10,2000-06-16,599.05
W10,2000-06-23,599.05
W10,2000-06-30,599.07
W10,2000-07-07,599.07
W10,2000-07-14,599.07
W10,2000-07-21,599.07
W10,2000-07-28,549.11
W10,2000-08-04,549.11
W10,2000-08-11,549.11
W10,2000-08-18,549.11
W10,2000-08-25,549.11
W10,2000-09-01,499.99
W10,2000-09-08,499.99
W10,2000-09-15,499.99
W10,2000-09-22,499.99
W10,2000-09-29,449.98
W10,2000-10-06,449.98
W10,2000-10-13,449.98
W10,2000-10-20,449.98
W10,2000-10-27,450.01
W10,2000-11-03,450.01
W10,2000-11-10,450.01
W10,2000-11-17,450.01
W10,2000-11-24,450.01
W10,2000-12-01,450
W10,2000-12-08,450
W10,2000-12-15,450
W10,2000-12-22,450
W10,2000-12-29,450
W10,2001-01-05,450
W10,2001-01-12,450
W10,2001-01-19,450
W10,2001-01-26,499.99
W10,2001-02-02,499.98
W10,2001-02-09,499.98
W10,2001-02-16,499.98
W10,2001-02-23,499.98
W10,2001-03-02,549.99
W10,2001-03-09,549.99
W10,2001-03-16,549.99
W10,2001-03-23,549.99
W10,2001-03-30,591.02
W10,2001-04-06,591.02
W10,2001-04-13,591.02
W10,2001-04-20,591.02
W10,2001-04-27,591
W10,2001-05-04,591
W10,2001-05-11,591
W10,2001-05-18,591
W10,2001-05-25,591
W10,2001-06-01,591
W10,2001-06-08,591
W10,2001-06-15,591
W10,2001-06-22,591
W10,2001-06-29,599.99
W10,2001-07-06,599.99
W10,2001-07-13,599.99
W10,2001-07-20,599.99
W10,2001-07-27,600.01
W10,2001-08-03,600.01
W10,2001-08-10,600.01
W10,2001-08-17,600.01
W10,2001-08-24,600.01
W10,2001-08-31,600.01
W10,2001-09-07,600.01
W10,2001-09-14,600.01
W10,2001-09-21,600.01
W10,2001-09-28,600.02
W10,2001-10-05,600.02
W10,2001-10-12,600.04
W10,2001-10-19,600.04
W10,2001-10-26,600.01
W10,2001-11-02,600.01
W10,2001-11-09,600.01
W10,2001-11-16,600.01
W10,2001-11-23,600.01
W10,2001-11-30,600.01
W10,2001-12-07,600.01
W10,2001-12-14,600.01
W10,2001-12-21,600
W10,2001-12-28,600
W10,2002-01-04,600
W10,2002-01-11,600
W10,2002-01-18,600
W10,2002-01-25,600
W10,2002-02-01,600
W10,2002-02-08,600
W10,2002-02-15,600
W10,2002-02-22,600
W10,2002-03-01,600.01
W10,2002-03-08,600.01
W10,2002-03-15,600.01
W10,2002-03-22,600.01
W10,2002-03-29,600
W10,2002-04-05,600
W10,2002-04-12,600
W10,2002-04-19,600
W10,2002-04-26,599.99
W10,2002-05-03,599.99
W10,2002-05-10,599.99
W10,2002-05-17,599.99
W10,2002-05-24,599.99
W10,2002-05-31,600
W10,2002-06-07,600
W10,2002-06-14,600
W10,2002-06-21,600
W10,2002-06-28,599.99
W10,2002-07-05,599.99
W10,2002-07-12,599.99
W10,2002-07-19,599.99
W10,2002-07-26,549.99
W10,2002-08-02,549.99
W10,2002-08-09,549.99
W10,2002-08-16,549.99
W10,2002-08-23,549.99
W10,2002-08-30,500
W10,2002-09-06,500
W10,2002-09-13,500
W10,2002-09-20,500
W10,2002-09-27,449.98
W10,2002-10-04,449.98
W10,2002-10-11,449.98
W10,2002-10-18,449.98
W10,2002-10-25,449.98
W10,2002-11-01,449.99
W10,2002-11-08,449.99
W10,2002-11-15,449.99
W10,2002-11-22,449.99
W10,2002-11-29,450
W10,2002-12-06,450
W10,2002-12-13,450
W10,2002-12-20,450
W10,2002-12-27,450
W10,2003-01-03,450
W10,2003-01-10,450
W10,2003-01-17,450
W10,2003-01-24,450
W10,2003-01-31,450
W10,2003-02-07,450
W10,2003-02-14,450
W10,2003-02-21,450
W10,2003-02-28,450
W10,2003-03-07,450
W10,2003-03-14,450
W10,2003-03-21,450
W10,2003-03-28,450
W10,2003-04-04,450
W10,2003-04-11,449.73
W10,2003-04-18,449.73
W10,2003-04-25,449.73
W10,2003-05-02,449.79
W10,2003-05-09,449.79
W10,2003-05-16,449.79
W10,2003-05-23,449.79
W10,2003-05-30,449.88
W10,2003-06-06,449.88
W10,2003-06-13,449.88
W10,2003-06-20,449.88
W10,2003-06-27,450
W10,2003-07-04,450
W10,2003-07-11,450
W10,2003-07-18,450
W10,2003-07-25,450
W10,2003-08-01,449.95
W10,2003-08-08,449.95
W10,2003-08-15,449.95
W10,2003-08-22,449.95
W10,2003-08-29,449.94
W10,2003-09-05,449.94
W10,2003-09-12,449.94
W10,2003-09-19,449.94
W10,2003-09-26,450
W10,2003-10-03,450
W10,2003-10-10,450
W10,2003-10-17,450
W10,2003-10-24,450
W10,2003-10-31,449.99
W10,2003-11-07,449.99
W10,2003-11-14,449.99
W10,2003-11-21,449.99
W10,2003-11-28,450
W10,2003-12-05,450
W10,2003-12-12,450
W10,2003-12-19,450
W10,2003-12-26,450
W10,2004-01-02,450
W10,2004-01-09,450
W10,2004-01-16,450
W10,2004-01-23,450
W10,2004-01-30,550
W10,2004-02-06,550
W10,2004-02-13,550
W10,2004-02-20,550
W10,2004-02-27,649.99
W10,2004-03-05,649.99
W10,2004-03-12,649.99
W10,2004-03-19,649.99
W10,2004-03-26,649.99
W10,2004-04-02,750
W10,2004-04-09,750
W10,2004-04-16,750
W10,2004-04-23,750
W10,2004-04-30,750.01
W10,2004-05-07,750.01
W10,2004-05-14,750.01
W10,2004-05-21,750.01
W10,2004-05-28,750
W10,2004-06-04,750
W10,2004-06-11,750
W10,2004-06-18,750
W10,2004-06-25,750
W10,2004-07-02,750
W10,2004-07-09,750.01
W10,2004-07-16,750.01
