id,date,value
Y1,1979-01-01,5172.1
Y1,1980-01-01,5133.5
Y1,1981-01-01,5186.9
Y1,1982-01-01,5084.6
Y1,1983-01-01,5182
Y1,1984-01-01,5414.3
Y1,1985-01-01,5576.2
Y1,1986-01-01,5752.9
Y1,1987-01-01,5955.2
Y1,1988-01-01,6087.8
Y1,1989-01-01,6238.9
Y1,1990-01-01,6317.2
Y1,1991-01-01,6262.7
Y1,1992-01-01,6361
Y1,1993-01-01,6427.4
Y1,1994-01-01,6654.9
Y1,1995-01-01,6835.4
Y1,1996-01-01,6925.5
Y1,1997-01-01,7073.5
Y1,1998-01-01,7144
Y1,1999-01-01,7230.6
Y1,2000-01-01,7349.6
Y1,2001-01-01,7339.2
Y1,2002-01-01,7250.8
Y1,2003-01-01,7294.6
Y1,2004-01-01,7393.9
Y1,2005-01-01,7560.9
Y1,2006-01-01,7651.4
Y1,2007-01-01,7587.3
Y1,2008-01-01,7530.5
Y1,2009-01-01,7261.1
Y2,1979-01-01,2070
Y2,1980-01-01,2104
Y2,1981-01-01,2394
Y2,1982-01-01,1651
Y2,1983-01-01,1492
Y2,1984-01-01,1348
Y2,1985-01-01,1198
Y2,1986-01-01,1192
Y2,1987-01-01,1105
Y2,1988-01-01,1008
Y2,1989-01-01,994
Y2,1990-01-01,1420
Y2,1991-01-01,1582
Y2,1992-01-01,1286
Y2,1993-01-01,1133
Y2,1994-01-01,1322
Y2,1995-01-01,1157
Y2,1996-01-01,1244
Y2,1997-01-01,1843
Y2,1998-01-01,1794
Y2,1999-01-01,1426
Y2,2000-01-01,1170
Y2,2001-01-01,1021
Y2,2002-01-01,997
Y2,2003-01-01,1062
Y2,2004-01-01,1013
Y2,2005-01-01,944
Y2,2006-01-01,861
Y2,2007-01-01,1002
Y2,2008-01-01,1302
Y2,2009-01-01,1603
Y20,1989-01-01,4090.82
Y20,1990-01-01,4347.68
Y20,1991-01-01,4757.6
Y20,1992-01-01,4929.53
Y20,1993-01-01,5184.86
Y20,1994-01-01,4826.48
Y20,1995-01-01,5043.98
Y20,1996-01-01,5382.51
Y20,1997-01-01,5348.62
Y20,1998-01-01,5249.73
Y20,1999-01-01,5240.61
Y20,2000-01-01,5219.33
Y20,2001-01-01,5324.46
Y20,2002-01-01,5467.29
Y20,2003-01-01,5671.75
Y20,2004-01-01,5763.55
Y20,2005-01-01,5896.13
Y20,2006-01-01,6028.98
Y20,2007-01-01,6451.26
Y100,2051-01-01,7234.531669
Y100,2052-01-01,7429.999414
Y100,2053-01-01,7616.196582
Y100,2054-01-01,7379.222933
Y100,2055-01-01,7675.008715
Y100,2056-01-01,7279.454624
Y100,2057-01-01,7607.079394
Y100,2058-01-01,7632.542349
Y100,2059-01-01,7396.924509
Y100,2060-01-01,7042.756599
Y100,2061-01-01,7089.532621
Y100,2062-01-01,7850.024655
Y100,2063-01-01,7906.480938
Y100,2064-01-01,8250.450217
Y100,2065-01-01,7793.613896
Y100,2066-01-01,8097.431632
Y100,2067-01-01,8030.712984
Y100,2068-01-01,8377.150834
Y100,2069-01-01,8347.215246
Y100,2070-01-01,8031.377833
Y100,2071-01-01,8258.455957
Y100,2072-01-01,7924.017892
Y100,2073-01-01,7799.977286
Y100,2074-01-01,8034.921752
Y100,2075-01-01,7911.047885
Y100,2076-01-01,7991.649801
Y100,2077-01-01,8356.505911
Y100,2078-01-01,7909.775254
Y100,2079-01-01,6631.401317
Y100,2080-01-01,7210.617384
Y100,2081-01-01,7591.242873
Y100,2082-01-01,8032.860419
Y100,2083-01-01,8063.409753
Y100,2084-01-01,8096.615546
Y100,2085-01-01,7778.126849
Y100,2086-01-01,7815.617035
Y100,2087-01-01,8028.890337
Y100,2088-01-01,7505.620527
Y100,2089-01-01,6763.648164
Y100,2090-01-01,7721.669111
Y100,2091-01-01,7831.153135
Y100,2092-01-01,8360.890121
Y100,2093-01-01,8412.517233
Y100,2094-01-01,9766.316756
Y100,2095-01-01,9591.775246
Y100,2096-01-01,9799.525006
Y100,2097-01-01,9897.886629
Y100,2098-01-01,9571.093231
Y100,2099-01-01,9283.797585
Y100,2100-01-01,9149.575697
Y100,2101-01-01,9124.905023
Y100,2102-01-01,8430.986474
Y100,2103-01-01,8316.480966
Y100,2104-01-01,8338.638764
