date,value
2000-06-05T00:00:00Z,22262
2000-06-05T00:30:00Z,21756
2000-06-05T01:00:00Z,22247
2000-06-05T01:30:00Z,22759
2000-06-05T02:00:00Z,22549
2000-06-05T02:30:00Z,22313
2000-06-05T03:00:00Z,22128
2000-06-05T03:30:00Z,21860
2000-06-05T04:00:00Z,21751
2000-06-05T04:30:00Z,21336
2000-06-05T05:00:00Z,21363
2000-06-05T05:30:00Z,22176
2000-06-05T06:00:00Z,24649
2000-06-05T06:30:00Z,27466
2000-06-05T07:00:00Z,31020
2000-06-05T07:30:00Z,33529
2000-06-05T08:00:00Z,35428
2000-06-05T08:30:00Z,36034
2000-06-05T09:00:00Z,36834
2000-06-05T09:30:00Z,37296
2000-06-05T10:00:00Z,37338
2000-06-05T10:30:00Z,37608
2000-06-05T11:00:00Z,37692
2000-06-05T11:30:00Z,37944
2000-06-05T12:00:00Z,37880
2000-06-05T12:30:00Z,37493
2000-06-05T13:00:00Z,37065
2000-06-05T13:30:00Z,36855
2000-06-05T14:00:00Z,36871
2000-06-05T14:30:00Z,36837
2000-06-05T15:00:00Z,36603
2000-06-05T15:30:00Z,36982
2000-06-05T16:00:00Z,37369
2000-06-05T16:30:00Z,37650
2000-06-05T17:00:00Z,37413
2000-06-05T17:30:00Z,36475
2000-06-05T18:00:00Z,35486
2000-06-05T18:30:00Z,34452
2000-06-05T19:00:00Z,33704
2000-06-05T19:30:00Z,32883
2000-06-05T20:00:00Z,31940
2000-06-05T20:30:00Z,32215
2000-06-05T21:00:00Z,32572
2000-06-05T21:30:00Z,32850
2000-06-05T22:00:00Z,32251
2000-06-05T22:30:00Z,30895
2000-06-05T23:00:00Z,28460
2000-06-05T23:30:00Z,26572
2000-06-06T00:00:00Z,25093
2000-06-06T00:30:00Z,24320
2000-06-06T01:00:00Z,24684
2000-06-06T01:30:00Z,25338
2000-06-06T02:00:00Z,24943
2000-06-06T02:30:00Z,24637
2000-06-06T03:00:00Z,24424
2000-06-06T03:30:00Z,24163
2000-06-06T04:00:00Z,23943
2000-06-06T04:30:00Z,23324
2000-06-06T05:00:00Z,23412
2000-06-06T05:30:00Z,24065
2000-06-06T06:00:00Z,26035
2000-06-06T06:30:00Z,28632
2000-06-06T07:00:00Z,32023
2000-06-06T07:30:00Z,34315
2000-06-06T08:00:00Z,35927
2000-06-06T08:30:00Z,36367
2000-06-06T09:00:00Z,37087
2000-06-06T09:30:00Z,37184
2000-06-06T10:00:00Z,37009
2000-06-06T10:30:00Z,37212
2000-06-06T11:00:00Z,37531
2000-06-06T11:30:00Z,37890
2000-06-06T12:00:00Z,37982
2000-06-06T12:30:00Z,37540
2000-06-06T13:00:00Z,37160
2000-06-06T13:30:00Z,36920
2000-06-06T14:00:00Z,37060
2000-06-06T14:30:00Z,36930
2000-06-06T15:00:00Z,36640
2000-06-06T15:30:00Z,36910
2000-06-06T16:00:00Z,37220
2000-06-06T16:30:00Z,37530
2000-06-06T17:00:00Z,37320
2000-06-06T17:30:00Z,36331
2000-06-06T18:00:00Z,35206
2000-06-06T18:30:00Z,34203
2000-06-06T19:00:00Z,33273
2000-06-06T19:30:00Z,32376
2000-06-06T20:00:00Z,31838
2000-06-06T20:30:00Z,31211
2000-06-06T21:00:00Z,31505
2000-06-06T21:30:00Z,31838
2000-06-06T22:00:00Z,32185
2000-06-06T22:30:00Z,30881
2000-06-06T23:00:00Z,28800
2000-06-06T23:30:00Z,26833
2000-06-07T00:00:00Z,25095
2000-06-07T00:30:00Z,24437
2000-06-07T01:00:00Z,24697
2000-06-07T01:30:00Z,25259
2000-06-07T02:00:00Z,25029
2000-06-07T02:30:00Z,24806
2000-06-07T03:00:00Z,24437
2000-06-07T03:30:00Z,24279
2000-06-07T04:00:00Z,23902
2000-06-07T04:30:00Z,23418
2000-06-07T05:00:00Z,23424
2000-06-07T05:30:00Z,24094
2000-06-07T06:00:00Z,26039
2000-06-07T06:30:00Z,28636
2000-06-07T07:00:00Z,32034
2000-06-07T07:30:00Z,34235
2000-06-07T08:00:00Z,35694
2000-06-07T08:30:00Z,35978
2000-06-07T09:00:00Z,36475
2000-06-07T09:30:00Z,36675
2000-06-07T10:00:00Z,36720
2000-06-07T10:30:00Z,36842
2000-06-07T11:00:00Z,36890
